"Survey","CountryYear","Country","CountryFR","Region","Source","age_fsex","age_fbirth","ave_bi","ideal","ppi","ttc","ppfp","s_neversex","s_sex_fbirth","s_birth1","s_birth2","s_birth3","s_birth4","s_birth5","s_birth6","s_birth7","s_birth8","s_birth9","s_infecund","CPR_all","Spacing_all","Limiting_all","CPR_mar","Spacing_mar","Limiting_mar","Notes","NotesFR","pop"
"LS2014DHS","Lesotho 2014","Lesotho","Lesotho","Africa","2014",18.5,20.3,45.8,2.6,11.2,4.28581869070722,44.9816657197199,13.5143686970685,16.776859088163,20.9500111391407,17.9968521960167,11.7545461480894,6.07320195348529,3.34864289143262,1.66645267960352,0.866341149018088,0.401819109213117,0.356436794986259,6.29446815378277,48.9,20.1,28.7,60.2,22.5,37.6,,,531403
"LB2019DHS","Liberia 2019-2020","Liberia","Liberia","Africa","2019-20",16.1,21.2,40.2,4.6,14.1,6,8.59973215566391,6.8283976966128,15.1258725776327,17.8411048559919,13.9538954154606,10.5807941878577,7.85997998742897,6.32735047605736,4.31941347219881,3.19666962845763,1.75093176286408,1.77060165812159,10.4449882813158,26.2,20.3,6,24.9,15.9,9,,,1189170
"MD2008DHS","Madagascar 2008-09","Madagascar","Madagascar","Africa","2008-09",17.3,18.9,32.7,4.7,10.7,6,12.0995672678523,11.966837446275,11.1224066564147,12.8535189468513,12.4397277533449,10.7625196700064,8.24269663565332,6.26935300176403,4.87265095533513,3.10879304193539,2.10385135739745,3.66290531145036,12.594739223572,31.7,15.9,15.8,39.9,19,21,,,4672135
"MW2015DHS","Malawi 2015-16","Malawi","Malawi","Africa","2015-16",16.8,18.2,41,3.7,12.8,9.20138012736587,47.386794915368,11.7197789154188,10.2413478270412,14.7357820380134,13.6531482168929,12.2363655004804,10.3695401576895,8.35535679726246,5.64088285631849,3.61581686409624,2.121436280435,1.8458871657636,5.46465738058799,46,20.8,25.2,59.2,26.5,32.7,,,3974782
"MV2016DHS","Maldives 2016-17","Maldives","Maldives","Asia","2016-17",20.7,20.9,53.4,2.8,5.8,9.21558318386354,8.21720715834748,21.372305727987,10.4866055817308,15.155852043826,14.1173481815005,8.44245222833631,4.08474728342667,2.36186290549475,1.2752793307003,0.487657937898843,0.232936008639384,0.155768738849942,21.8271840316094,13.3,5.2,8.1,18.8,7.4,11.4,,,110753
"ML2018DHS","Mali 2018","Mali","Mali","Africa","2018",16.5,17.8,32.1,6,10.5,8.97396695095898,12.8754763527044,9.96080956803058,8.99238887700231,11.9219740317684,10.8357905038137,9.87024825175789,9.05436477683421,7.56095369526488,6.22143713560755,4.44572781694709,3.11864597523445,4.51411815722004,13.5035412105188,16.2,12.3,3.8,17.2,12.7,4.5,,,4237636
"MB2005DHS","Moldova 2005","Moldova","Moldova, Republique de","Europe","2005",20,20.4,55.6,1.7,6.3,4.50680418057284,56.5763250315357,19.0255537573644,11.9156354897875,18.2657299955002,24.8783907799991,8.6872744467626,2.64009192082473,1.23345229827771,0.208090774602742,0.0556327826877765,0.017035103023449,0.0528444728141202,13.0202681783557,49.8,16.1,33.7,67.8,19.3,48.5,,,1184692
"MZ2015AIS","Mozambique 2015 AIS","Mozambique","Mozambique","Africa","2015",16.8,18.2,34.8,4.8,15,6,7.2,6.19587286432435,11.5250999265849,15.0438008291508,12.3830586121442,10.3856202702139,8.85001254473275,6.78014361042524,5.10380911628059,3.61662745619986,2.81236082419245,2.6519993109374,14.6515946348135,27.4,17.5,10,27.1,16,11.1,,,6396244
"MM2016DHS","Myanmar 2015-16","Myanmar","Myanmar","Asia","2015-16",22.5,22.1,49,2.5,4.5,8.07673222009117,44.4861039953113,33.1194293948899,6.55978838369515,14.5982073398795,13.7295553406731,9.51098941013352,5.18980371400254,2.92562586511119,1.49170546153486,0.928223087556489,0.544259455794851,0.307044443305372,11.0953681034236,31.6,10.6,21,52.2,17.6,34.7,,,14679563
"NM2013DHS","Namibia 2013","Namibia","Namibie","Africa","2013",19,21.6,45.1,3.2,11.3,6.51424943439697,47.8056316289643,13.9262366127807,17.6850930181469,19.6176781893885,16.7138435190695,11.6471748570333,6.71929271166237,3.85501586041641,2.38639371414099,1.23049413378064,0.902287295437805,0.581197112516327,4.73529297562661,50.2,28.3,21.9,56.1,23.5,32.6,,,592648
"NP2016DHS","Nepal 2016","Nepal","Nepal","Asia","2016",17.9,17.9,36.7,2.1,7.8,4.47633205868396,18.6785156401818,20.6403203521229,6.91380921015546,14.8509779866495,20.3656666561054,13.7482676730687,7.93426855876717,4.22082402322302,2.24889730310968,1.03089087570314,0.350201574302443,0.290831864439872,7.40504392235275,40.8,5.3,35.4,52.6,6.9,45.7,,,8191447
"NC2001DHS","Nicaragua 2001","Nicaragua","Nicaragua","Latin America and the Caribbean","2001",17.8,18.2,34.2,2.9,7.1,6,38.7064139182985,22.1502764278672,6.99610854846466,14.7834531832222,13.6916434789667,11.3046943391592,7.87112399293444,5.32281023878155,3.61040932931098,2.43335628050663,2.02024519140484,3.24934846552343,6.5665305238581,45.6,13.1,32.5,68.6,20.5,48.1,,,1338552
"NI2012DHS","Niger 2012","Niger","Niger","Africa","2012",15.9,15.7,30.9,9.2,14.3,6,16.4148186804779,7.74679208667519,6.29917573660178,9.41333034354602,10.1037572733382,9.71083776044829,9.4061731213828,8.75709678264759,7.62366611994827,6.30057090684117,4.74408043580149,7.9529048717144,11.9416145610548,12.5,11.1,1.4,13.9,12.3,1.6,,,3719064
"NG2018DHS","Nigeria 2018","Nigeria","Nigeria","Africa","2018",17.2,19.1,30.9,6.1,12.7,6.57810463938193,10.581138203582,16.0991697410669,11.1279951384635,10.1266267132766,10.4541123458004,9.33491781225618,7.96734724148643,6.88514283235271,4.97000897768342,3.59863560690226,2.57579333852847,3.92519341369678,12.9350568384864,14.3,9.1,5.2,16.6,9.6,7,,,44911135
"PK2017DHS","Pakistan 2017-18","Pakistan","Pakistan","Asia","2017-18",20.7,20.4,28.2,3.9,4,3.63523918647015,16.5478452512315,33.3120986792317,6.80257256427643,7.80307828534905,8.62570154709407,8.68837738440466,7.84070901413304,6.07719803648645,3.87896355874924,2.30377228981556,1.45377164305405,1.8880551270104,11.3257018703954,21.1356,5.6238,15.5118,34.2,9.1,25.1,,,52020884
"PG2017DHS","Papua New Guinea 2016-2018","Papua New Guinea","Papouasie-Nouvelle-Guinee","Oceania","2016-2018",19.7,20.4,33.2,3,14.7,4.70818731570841,32.7853878849408,19.5746148739685,9.67232762232737,12.0779934318399,10.9242423149729,10.8234342283138,8.70125439700233,6.52791390384644,4.26294262522096,2.50298413778271,1.04739866846127,0.932559951135696,12.9523338451282,26.8,11,15.8,36.7,14.9,21.9,,,2068335
"PE2012DHS","Peru 2012","Peru","Perou","Latin America and the Caribbean","2012",18.7,21.6,51.1,2.3,10.4,5.0063348033313,52.5211223072742,18.674861105532,13.2441490901749,18.1031116242755,17.9690305324,11.4491108695472,6.37329566336831,3.37631405379534,1.99046542253415,1.06402230947927,0.705849729198507,0.697545243642733,6.35224435605205,51.5,20.4,31,75.5,25.8,49.7,,,7796962
"PH2017DHS","Philippines 2017","Philippines","Philippines","Asia","2017",21.2,22.5,36.8,2.7,6.1,6,40.2054340968635,30.407086195279,6.12463767486489,13.164661413316,15.2015515446227,11.268610068177,5.92778163936772,3.55878669201843,2.03341062262822,1.18456101160282,0.636026462073565,0.72270937325631,9.77017730279336,33.6,10.5,23.1,54.3,16.6,37.6,,,27220298
"RW2019DHS","Rwanda 2019","Rwanda","Rwanda","Africa","2019",20.7,22.8,40.8,3.5,15.6,5.09450514015003,64.2851547389214,26.9931481755983,8.74199241849368,12.5790336529614,12.8681282924748,11.1219463647702,8.19549284193987,5.53160687750948,3.96705153408314,2.57674413605334,1.218841432989,0.899349984281615,5.30666428884512,38.6,17.4,21.2,64.1,28.4,35.7,,,3204028
"ST2008DHS","Sao Tome and Principe 2008-09","Sao Tome and Principe","Sao Tome-et-Principe","Africa","2008-09",17.8,18.8,44.2,3.5,7.2,6,31.1561806687676,13.3200130176516,11.3022708285669,12.0292698101161,12.8895240453581,12.2217136660462,10.2262003863559,6.63276509481814,4.28957679801408,3.20818845923044,1.78096464438091,2.30637170147062,9.79314154799108,30.7,16.2,14.6,38.4,18.2,20.2,,,40719
"SN2019DHS","Senegal 2019","Senegal","Senegal","Africa","2019",19.7,20,36.6,5.4,13.7,6.36574365360057,23.6755359270117,27.9175374030063,7.24235226392005,12.8849118936932,10.5447612033514,8.50691462829572,7.47324841042439,5.82648028610891,4.4480804913873,3.33064436649768,2.04891780911859,2.09355686724656,7.68259437694983,18.8,13.3,5.5,26.9,18.5,8.4,,,4001600
"SL2019DHS","Seirra Leone 2019","Sierra Leone","Sierra Leone","Africa","2019",16,19.5,39.5,4.7,17.3,6,6.5248447858332,10.2654775956413,15.2938209399632,14.1085264330633,12.1215125373964,9.75180874252015,7.79382038198192,6.0001312387266,4.04504091969421,2.66893928582389,1.38754691406346,1.25674740665869,15.3066276044669,24.3,19.4,4.9,21.2,14.6,6.6,,,1914452
